# x_rel_mm	value	x_abs_mm	center_mm
-7.10016	0	0.011094	7.11125
-7.07797	0	0.033282	7.11125
-7.05578	0	0.05547	7.11125
-7.0336	0	0.077658	7.11125
-7.01141	0	0.099846	7.11125
-6.98922	0	0.122034	7.11125
-6.96703	0	0.144222	7.11125
-6.94484	0	0.16641	7.11125
-6.92266	0	0.188598	7.11125
-6.90047	0	0.210786	7.11125
-6.87828	0	0.232974	7.11125
-6.85609	0	0.255162	7.11125
-6.8339	0	0.27735	7.11125
-6.81172	0	0.299538	7.11125
-6.78953	0	0.321726	7.11125
-6.76734	0	0.343914	7.11125
-6.74515	0	0.366102	7.11125
-6.72296	0	0.38829	7.11125
-6.70078	0	0.410478	7.11125
-6.67859	0	0.432666	7.11125
-6.6564	0	0.454854	7.11125
-6.63421	0	0.477042	7.11125
-6.61202	0	0.49923	7.11125
-6.58984	0	0.521418	7.11125
-6.56765	0	0.543606	7.11125
-6.54546	0	0.565794	7.11125
-6.52327	0	0.587982	7.11125
-6.50108	0	0.61017	7.11125
-6.4789	0	0.632358	7.11125
-6.45671	0	0.654546	7.11125
-6.43452	0	0.676734	7.11125
-6.41233	0	0.698922	7.11125
-6.39014	0	0.72111	7.11125
-6.36796	0	0.743298	7.11125
-6.34577	0	0.765486	7.11125
-6.32358	0	0.787674	7.11125
-6.30139	0	0.809862	7.11125
-6.2792	0	0.83205	7.11125
-6.25702	0	0.854238	7.11125
-6.23483	0	0.876426	7.11125
-6.21264	0	0.898614	7.11125
-6.19045	0	0.920802	7.11125
-6.16826	0	0.94299	7.11125
-6.14608	0	0.965178	7.11125
-6.12389	0	0.987366	7.11125
-6.1017	0	1.00955	7.11125
-6.07951	0	1.03174	7.11125
-6.05732	0	1.05393	7.11125
-6.03514	0	1.07612	7.11125
-6.01295	0	1.09831	7.11125
-5.99076	0	1.12049	7.11125
-5.96857	0	1.14268	7.11125
-5.94638	0	1.16487	7.11125
-5.9242	0	1.18706	7.11125
-5.90201	0	1.20925	7.11125
-5.87982	0	1.23143	7.11125
-5.85763	0	1.25362	7.11125
-5.83544	0	1.27581	7.11125
-5.81326	0	1.298	7.11125
-5.79107	0	1.32019	7.11125
-5.76888	0	1.34237	7.11125
-5.74669	0	1.36456	7.11125
-5.7245	0	1.38675	7.11125
-5.70232	0	1.40894	7.11125
-5.68013	0	1.43113	7.11125
-5.65794	0	1.45331	7.11125
-5.63575	0	1.4755	7.11125
-5.61356	0	1.49769	7.11125
-5.59138	0	1.51988	7.11125
-5.56919	0	1.54207	7.11125
-5.547	0	1.56425	7.11125
-5.52481	0	1.58644	7.11125
-5.50262	0	1.60863	7.11125
-5.48044	0	1.63082	7.11125
-5.45825	0	1.65301	7.11125
-5.43606	0	1.67519	7.11125
-5.41387	0	1.69738	7.11125
-5.39168	0	1.71957	7.11125
-5.3695	0	1.74176	7.11125
-5.34731	0	1.76395	7.11125
-5.32512	0	1.78613	7.11125
-5.30293	0	1.80832	7.11125
-5.28074	0	1.83051	7.11125
-5.25856	0	1.8527	7.11125
-5.23637	0	1.87489	7.11125
-5.21418	0	1.89707	7.11125
-5.19199	0	1.91926	7.11125
-5.1698	0	1.94145	7.11125
-5.14762	0	1.96364	7.11125
-5.12543	0	1.98583	7.11125
-5.10324	0	2.00801	7.11125
-5.08105	0	2.0302	7.11125
-5.05886	0	2.05239	7.11125
-5.03668	0	2.07458	7.11125
-5.01449	0	2.09677	7.11125
-4.9923	0	2.11895	7.11125
-4.97011	0	2.14114	7.11125
-4.94792	0	2.16333	7.11125
-4.92574	0	2.18552	7.11125
-4.90355	0	2.20771	7.11125
-4.88136	0	2.22989	7.11125
-4.85917	0	2.25208	7.11125
-4.83698	0	2.27427	7.11125
-4.8148	0	2.29646	7.11125
-4.79261	0	2.31865	7.11125
-4.77042	0	2.34083	7.11125
-4.74823	0	2.36302	7.11125
-4.72604	0	2.38521	7.11125
-4.70386	0	2.4074	7.11125
-4.68167	0	2.42959	7.11125
-4.65948	0	2.45177	7.11125
-4.63729	0	2.47396	7.11125
-4.6151	0	2.49615	7.11125
-4.59292	0	2.51834	7.11125
-4.57073	0	2.54053	7.11125
-4.54854	0	2.56271	7.11125
-4.52635	0.334737	2.5849	7.11125
-4.50416	6.12903	2.60709	7.11125
-4.48198	12.0101	2.62928	7.11125
-4.45979	15.3709	2.65147	7.11125
-4.4376	12.7686	2.67365	7.11125
-4.41541	10.1	2.69584	7.11125
-4.39322	8.76468	2.71803	7.11125
-4.37104	8.14245	2.74022	7.11125
-4.34885	7.47405	2.76241	7.11125
-4.32666	5.80779	2.78459	7.11125
-4.30447	4.28693	2.80678	7.11125
-4.28228	3.04738	2.82897	7.11125
-4.2601	2.52294	2.85116	7.11125
-4.23791	2.27371	2.87335	7.11125
-4.21572	1.99332	2.89553	7.11125
-4.19353	1.86409	2.91772	7.11125
-4.17134	1.79362	2.93991	7.11125
-4.14916	1.74856	2.9621	7.11125
-4.12697	2.97188	2.98429	7.11125
-4.10478	3.27652	3.00647	7.11125
-4.08259	3.5119	3.02866	7.11125
-4.0604	2.4565	3.05085	7.11125
-4.03822	1.86019	3.07304	7.11125
-4.01603	1.92368	3.09523	7.11125
-3.99384	2.54113	3.11741	7.11125
-3.97165	2.98657	3.1396	7.11125
-3.94946	2.67914	3.16179	7.11125
-3.92728	2.69822	3.18398	7.11125
-3.90509	2.73794	3.20617	7.11125
-3.8829	3.07762	3.22835	7.11125
-3.86071	2.89967	3.25054	7.11125
-3.83852	3.15106	3.27273	7.11125
-3.81634	3.29631	3.29492	7.11125
-3.79415	3.14305	3.31711	7.11125
-3.77196	2.96779	3.33929	7.11125
-3.74977	3.83311	3.36148	7.11125
-3.72758	4.4609	3.38367	7.11125
-3.7054	5.28075	3.40586	7.11125
-3.68321	6.64395	3.42805	7.11125
-3.66102	7.59004	3.45023	7.11125
-3.63883	8.72923	3.47242	7.11125
-3.61664	10.0619	3.49461	7.11125
-3.59446	10.5896	3.5168	7.11125
-3.57227	10.8212	3.53899	7.11125
-3.55008	11.0621	3.56117	7.11125
-3.52789	11.2815	3.58336	7.11125
-3.5057	11.6671	3.60555	7.11125
-3.48352	11.8753	3.62774	7.11125
-3.46133	11.9059	3.64993	7.11125
-3.43914	11.6977	3.67211	7.11125
-3.41695	11.6905	3.6943	7.11125
-3.39476	11.6782	3.71649	7.11125
-3.37258	11.7214	3.73868	7.11125
-3.35039	11.8462	3.76087	7.11125
-3.3282	12.0103	3.78305	7.11125
-3.30601	12.3127	3.80524	7.11125
-3.28382	12.6995	3.82743	7.11125
-3.26164	12.9009	3.84962	7.11125
-3.23945	12.8148	3.87181	7.11125
