# x_abs_mm	x_rel_mm	value
0.011094	-7.17782	0
0.033282	-7.15563	0
0.05547	-7.13344	0
0.077658	-7.11125	0
0.099846	-7.08907	0
0.122034	-7.06688	0
0.144222	-7.04469	0
0.16641	-7.0225	0
0.188598	-7.00031	0
0.210786	-6.97813	0
0.232974	-6.95594	0
0.255162	-6.93375	0
0.27735	-6.91156	0
0.299538	-6.88937	0
0.321726	-6.86719	0
0.343914	-6.845	0
0.366102	-6.82281	0
0.38829	-6.80062	0
0.410478	-6.77843	0
0.432666	-6.75625	0
0.454854	-6.73406	0
0.477042	-6.71187	0
0.49923	-6.68968	0
0.521418	-6.66749	0
0.543606	-6.64531	0
0.565794	-6.62312	0
0.587982	-6.60093	0
0.61017	-6.57874	0
0.632358	-6.55655	0
0.654546	-6.53437	0
0.676734	-6.51218	0
0.698922	-6.48999	0
0.72111	-6.4678	0
0.743298	-6.44561	0
0.765486	-6.42343	0
0.787674	-6.40124	0
0.809862	-6.37905	0
0.83205	-6.35686	0
0.854238	-6.33467	0
0.876426	-6.31249	0
0.898614	-6.2903	0
0.920802	-6.26811	0
0.94299	-6.24592	0
0.965178	-6.22373	0
0.987366	-6.20155	0
1.00955	-6.17936	0
1.03174	-6.15717	0
1.05393	-6.13498	0
1.07612	-6.11279	0
1.09831	-6.09061	0
1.12049	-6.06842	0
1.14268	-6.04623	0
1.16487	-6.02404	0
1.18706	-6.00185	0
1.20925	-5.97967	0
1.23143	-5.95748	0
1.25362	-5.93529	0
1.27581	-5.9131	0
1.298	-5.89091	0
1.32019	-5.86873	0
1.34237	-5.84654	0
1.36456	-5.82435	0
1.38675	-5.80216	0
1.40894	-5.77997	0
1.43113	-5.75779	0
1.45331	-5.7356	0
1.4755	-5.71341	0
1.49769	-5.69122	0
1.51988	-5.66903	0
1.54207	-5.64685	0
1.56425	-5.62466	0
1.58644	-5.60247	0
1.60863	-5.58028	0
1.63082	-5.55809	0
1.65301	-5.53591	0
1.67519	-5.51372	0
1.69738	-5.49153	0
1.71957	-5.46934	0
1.74176	-5.44715	0
1.76395	-5.42497	0
1.78613	-5.40278	0
1.80832	-5.38059	0
1.83051	-5.3584	0
1.8527	-5.33621	0
1.87489	-5.31403	0
1.89707	-5.29184	0
1.91926	-5.26965	0
1.94145	-5.24746	0
1.96364	-5.22527	0
1.98583	-5.20309	0
2.00801	-5.1809	0
2.0302	-5.15871	0
2.05239	-5.13652	0
2.07458	-5.11433	0
2.09677	-5.09215	0
2.11895	-5.06996	0
2.14114	-5.04777	0
2.16333	-5.02558	0
2.18552	-5.00339	0
2.20771	-4.98121	0
2.22989	-4.95902	0
2.25208	-4.93683	0
2.27427	-4.91464	0
2.29646	-4.89245	0
2.31865	-4.87027	0
2.34083	-4.84808	0
2.36302	-4.82589	0
2.38521	-4.8037	0
2.4074	-4.78151	0
2.42959	-4.75933	0
2.45177	-4.73714	0
2.47396	-4.71495	0
2.49615	-4.69276	0
2.51834	-4.67057	0
2.54053	-4.64839	0
2.56271	-4.6262	0
2.5849	-4.60401	0.00428256
2.60709	-4.58182	0.0784135
2.62928	-4.55963	0.144038
2.65147	-4.53745	0.155049
2.67365	-4.51526	0.124634
2.69584	-4.49307	0.0976852
2.71803	-4.47088	0.0830178
